===BURST_CSV_BEGIN===
# fastburst: 2048 frames @ 100.01 kSPS native (measured), 0 seq-gaps, 0 bad-hdr; us = idx x 9.999 us
us,seq,i3,i4,i5,vrail,i7,i8
680.0,127,0.0061,0.0048,0.0041,0.0165,0.0280,0.0062
690.0,128,-0.0015,0.0063,0.0026,0.0165,0.0250,0.0032
700.0,129,-0.0046,0.0078,0.0057,0.0157,0.0265,0.0047
710.0,130,0.0031,0.0048,0.0041,0.0165,0.0250,0.0032
720.0,131,0.0061,0.0017,-0.0004,0.0174,0.0234,0.0047
730.0,132,0.0061,0.0032,0.0026,0.0165,0.0250,0.0062
740.0,133,0.0077,0.0063,0.0057,0.0165,0.0250,0.0078
750.0,134,0.0077,0.0078,0.0103,0.0174,0.0219,0.0139
760.0,135,0.0107,0.0078,0.0118,0.0165,0.0219,0.0184
770.0,136,0.0138,0.0109,0.0118,0.0165,0.0219,0.0200
780.0,137,0.0153,0.0124,0.0118,0.0157,0.0219,0.0169
790.0,138,0.0168,0.0139,0.0148,0.0165,0.0234,0.0200
800.0,139,0.0244,0.0246,0.0209,0.0157,0.0250,0.0215
810.0,140,0.0305,0.0261,0.0301,0.0148,0.0250,0.0230
820.0,141,0.0336,0.0246,0.0301,0.0165,0.0234,0.0230
830.0,142,0.0260,0.0185,0.0225,0.0174,0.0234,0.0184
840.0,143,0.0229,0.0154,0.0209,0.0157,0.0234,0.0169
850.0,144,0.0168,0.0124,0.0194,0.0165,0.0234,0.0169
860.0,145,0.0138,0.0154,0.0164,0.0157,0.0234,0.0169
870.0,146,0.0107,0.0093,0.0133,0.0165,0.0265,0.0169
880.0,147,0.0061,0.0032,0.0103,0.0165,0.0234,0.0123
890.0,148,0.0077,0.0017,0.0041,0.0183,0.0234,0.0093
900.0,149,0.0061,0.0048,0.0041,0.0148,0.0219,0.0078
910.0,150,0.0046,0.0078,0.0072,0.0165,0.0234,0.0078
920.0,151,0.0061,0.0017,0.0026,0.0165,0.0219,0.0108
930.0,152,0.0046,-0.0013,0.0011,0.0157,0.0219,0.0032
940.0,153,0.0077,-0.0044,0.0041,0.0174,0.0234,-0.0014
950.0,154,0.0046,-0.0029,0.0072,0.0157,0.0219,-0.0044
959.9,155,0.0000,0.0002,0.0072,0.0165,0.0219,-0.0090
969.9,156,-0.0061,0.0002,0.0041,0.0157,0.0204,-0.0044
979.9,157,-0.0061,0.0017,-0.0035,0.0165,0.0189,-0.0014
989.9,158,-0.0061,-0.0044,0.0011,0.0157,0.0189,0.0001
999.9,159,-0.0030,-0.0059,0.0011,0.0165,0.0173,0.0001
1009.9,160,0.0015,-0.0044,-0.0050,0.0183,0.0189,0.0001
1019.9,161,0.0031,-0.0044,-0.0111,0.0165,0.0189,-0.0014
1029.9,162,0.0000,-0.0059,-0.0065,0.0157,0.0158,-0.0044
1039.9,163,-0.0046,-0.0059,-0.0020,0.0165,0.0173,-0.0014
1049.9,164,0.0000,-0.0074,-0.0004,0.0165,0.0158,-0.0044
1059.9,165,-0.0015,-0.0044,0.0011,0.0165,0.0173,-0.0044
1069.9,166,0.0015,-0.0044,0.0026,0.0165,0.0143,-0.0014
1079.9,167,0.0015,-0.0013,0.0057,0.0174,0.0158,0.0001
1089.9,168,0.0077,-0.0044,0.0026,0.0157,0.0158,0.0017
1099.9,169,0.0122,0.0032,0.0026,0.0165,0.0173,0.0017
1109.9,170,0.0138,0.0093,0.0057,0.0165,0.0158,0.0062
1119.9,171,0.0168,0.0078,0.0087,0.0174,0.0158,0.0123
1129.9,172,0.0214,0.0124,0.0118,0.0165,0.0158,0.0169
1139.9,173,0.0260,0.0154,0.0133,0.0174,0.0158,0.0169
1149.9,174,0.0321,0.0215,0.0148,0.0165,0.0173,0.0123
1159.9,175,0.0321,0.0215,0.0209,0.0165,0.0158,0.0184
1169.9,176,0.0382,0.0292,0.0286,0.0174,0.0158,0.0261
1179.9,177,0.0397,0.0338,0.0331,0.0174,0.0173,0.0246
1189.9,178,0.0443,0.0368,0.0423,0.0157,0.0173,0.0215
1199.9,179,0.0473,0.0353,0.0392,0.0165,0.0189,0.0230
1209.9,180,0.0473,0.0383,0.0362,0.0174,0.0204,0.0322
1219.9,181,0.0443,0.0399,0.0392,0.0174,0.0204,0.0413
1229.9,182,0.0412,0.0399,0.0438,0.0174,0.0204,0.0444
1239.9,183,0.0397,0.0414,0.0377,0.0165,0.0204,0.0520
1249.9,184,0.0412,0.0368,0.0331,0.0174,0.0219,0.0505
1259.9,185,0.0427,0.0399,0.0347,0.0183,0.0204,0.0459
1269.9,186,0.0412,0.0383,0.0347,0.0165,0.0204,0.0413
1279.9,187,0.0397,0.0353,0.0331,0.0165,0.0219,0.0337
1289.9,188,0.0321,0.0322,0.0270,0.0165,0.0250,0.0322
1299.9,189,0.0321,0.0277,0.0255,0.0183,0.0234,0.0291
1309.9,190,0.0229,0.0231,0.0255,0.0174,0.0234,0.0246
1319.9,191,0.0214,0.0231,0.0255,0.0183,0.0250,0.0215
1329.9,192,0.0244,0.0231,0.0225,0.0165,0.0219,0.0169
1339.9,193,0.0244,0.0246,0.0209,0.0174,0.0234,0.0154
1349.9,194,0.0199,0.0246,0.0194,0.0165,0.0234,0.0123
1359.9,195,0.0153,0.0277,0.0209,0.0183,0.0234,0.0154
1369.9,196,0.0199,0.0185,0.0209,0.0183,0.0250,0.0169
1379.9,197,0.0229,0.0185,0.0225,0.0165,0.0250,0.0093
1389.9,198,0.0290,0.0231,0.0255,0.0165,0.0234,0.0154
1399.9,199,0.0290,0.0246,0.0301,0.0174,0.0234,0.0230
1409.9,200,0.0290,0.0231,0.0286,0.0174,0.0234,0.0307
1419.9,201,0.0229,0.0246,0.0331,0.0157,0.0234,0.0337
1429.9,202,0.0260,0.0292,0.0377,0.0165,0.0250,0.0368
1439.9,203,0.0290,0.0338,0.0377,0.0165,0.0265,0.0352
1449.9,204,0.0366,0.0399,0.0377,0.0174,0.0250,0.0368
1459.9,205,0.0351,0.0460,0.0362,0.0165,0.0265,0.0352
1469.9,206,0.0351,0.0490,0.0377,0.0174,0.0280,0.0337
1479.9,207,0.0336,0.0460,0.0392,0.0165,0.0265,0.0368
1489.9,208,0.0321,0.0368,0.0408,0.0174,0.0265,0.0429
1499.9,209,0.0366,0.0383,0.0423,0.0174,0.0280,0.0459
1509.9,210,0.0427,0.0414,0.0484,0.0174,0.0295,0.0444
1519.9,211,0.0489,0.0490,0.0469,0.0174,0.0295,0.0474
1529.9,212,0.0534,0.0551,0.0499,0.0174,0.0295,0.0505
1539.9,213,0.0595,0.0582,0.0515,0.0183,0.0280,0.0535
1549.9,214,0.0580,0.0566,0.0499,0.0174,0.0311,0.0581
1559.9,215,0.0626,0.0521,0.0530,0.0183,0.0311,0.0581
1569.9,216,0.0626,0.0551,0.0560,0.0183,0.0295,0.0596
1579.9,217,0.0672,0.0551,0.0515,0.0174,0.0341,0.0612
1589.9,218,0.0702,0.0551,0.0560,0.0174,0.0341,0.0658
1599.9,219,0.0748,0.0566,0.0560,0.0174,0.0356,0.0658
1609.9,220,0.0687,0.0566,0.0560,0.0165,0.0356,0.0658
1619.9,221,0.0565,0.0597,0.0515,0.0165,0.0356,0.0490
1629.9,222,0.0473,0.0566,0.0392,0.0183,0.0372,0.0429
1639.9,223,0.0443,0.0475,0.0316,0.0165,0.0372,0.0352
1649.9,224,0.0336,0.0383,0.0255,0.0174,0.0356,0.0276
1659.9,225,0.0290,0.0307,0.0240,0.0174,0.0356,0.0261
1669.9,226,0.0214,0.0215,0.0240,0.0165,0.0372,0.0230
1679.9,227,0.0168,0.0170,0.0240,0.0165,0.0356,0.0169
1689.9,228,0.0122,0.0124,0.0133,0.0174,0.0372,0.0108
1699.9,229,0.0046,0.0078,-0.0004,0.0165,0.0326,0.0078
1709.9,230,0.0000,0.0048,-0.0050,0.0174,0.0341,0.0093
1719.9,231,-0.0015,0.0017,-0.0035,0.0157,0.0341,0.0047
1729.9,232,-0.0030,-0.0059,0.0011,0.0174,0.0341,-0.0029
1739.9,233,-0.0061,-0.0044,0.0011,0.0165,0.0326,-0.0060
1749.9,234,-0.0061,-0.0059,0.0011,0.0165,0.0311,-0.0090
1759.9,235,-0.0091,-0.0044,-0.0020,0.0165,0.0280,-0.0136
1769.9,236,-0.0122,-0.0059,-0.0081,0.0174,0.0311,-0.0136
1779.9,237,-0.0107,-0.0059,-0.0081,0.0174,0.0295,-0.0075
1789.9,238,-0.0107,-0.0105,-0.0096,0.0174,0.0265,-0.0090
1799.9,239,-0.0122,-0.0059,-0.0081,0.0183,0.0265,-0.0090
1809.9,240,-0.0107,-0.0074,-0.0081,0.0191,0.0265,-0.0044
1819.9,241,-0.0076,-0.0090,-0.0126,0.0174,0.0265,-0.0060
1829.9,242,-0.0137,-0.0059,-0.0172,0.0174,0.0250,-0.0090
1839.9,243,-0.0168,-0.0044,-0.0172,0.0165,0.0250,-0.0105
1849.9,244,-0.0137,-0.0090,-0.0126,0.0174,0.0234,-0.0075
1859.9,245,-0.0122,-0.0090,-0.0096,0.0165,0.0219,-0.0075
1869.9,246,-0.0015,-0.0044,-0.0035,0.0174,0.0204,0.0001
1879.9,247,0.0015,0.0063,-0.0020,0.0174,0.0189,-0.0014
1889.9,248,-0.0046,0.0078,-0.0020,0.0165,0.0204,0.0032
1899.9,249,0.0000,0.0093,0.0026,0.0174,0.0204,0.0047
1909.9,250,0.0077,0.0109,0.0057,0.0165,0.0204,0.0047
1919.9,251,0.0092,0.0139,0.0057,0.0174,0.0204,0.0093
1929.9,252,0.0214,0.0246,0.0164,0.0165,0.0189,0.0169
1939.9,253,0.0275,0.0353,0.0255,0.0174,0.0204,0.0261
1949.9,254,0.0366,0.0460,0.0270,0.0183,0.0219,0.0276
1959.9,255,0.0443,0.0536,0.0408,0.0174,0.0219,0.0337
1969.9,0,0.0550,0.0612,0.0545,0.0174,0.0250,0.0474
1979.9,1,0.0641,0.0673,0.0652,0.0183,0.0250,0.0612
1989.9,2,0.0702,0.0765,0.0698,0.0183,0.0250,0.0734
1999.9,3,0.0824,0.0811,0.0789,0.0183,0.0265,0.0841
2009.9,4,0.0885,0.0902,0.0911,0.0183,0.0280,0.0871
2019.9,5,0.0962,0.0933,0.1003,0.0174,0.0295,0.0917
2029.9,6,0.1053,0.0933,0.1064,0.0174,0.0326,0.0993
2039.9,7,0.1053,0.0994,0.1079,0.0174,0.0356,0.0978
2049.9,8,0.1023,0.1009,0.1049,0.0174,0.0356,0.1008
2059.9,9,0.1038,0.1009,0.0988,0.0183,0.0387,0.0932
2069.9,10,0.1023,0.0994,0.0972,0.0183,0.0402,0.0902
2079.9,11,0.1007,0.0994,0.0972,0.0183,0.0417,0.0963
2089.9,12,0.0977,0.0963,0.0957,0.0174,0.0433,0.0963
2099.9,13,0.0962,0.0978,0.0896,0.0183,0.0448,0.0947
2109.9,14,0.0962,0.1009,0.0865,0.0183,0.0448,0.0886
2119.9,15,0.0931,0.1009,0.0911,0.0174,0.0463,0.0856
2129.9,16,0.0916,0.0994,0.0911,0.0174,0.0478,0.0856
2139.9,17,0.0885,0.1009,0.0881,0.0174,0.0494,0.0917
2149.9,18,0.0824,0.0994,0.0896,0.0174,0.0509,0.0947
2159.9,19,0.0839,0.0963,0.0911,0.0174,0.0509,0.0902
2169.9,20,0.0885,0.0887,0.0865,0.0174,0.0509,0.0841
2179.9,21,0.0901,0.0856,0.0850,0.0174,0.0524,0.0856
2189.9,22,0.0885,0.0856,0.0835,0.0165,0.0539,0.0902
2199.9,23,0.0839,0.0856,0.0865,0.0165,0.0555,0.0917
2209.9,24,0.0809,0.0872,0.0865,0.0165,0.0555,0.0902
2219.9,25,0.0794,0.0841,0.0850,0.0165,0.0555,0.0886
2229.9,26,0.0778,0.0811,0.0789,0.0174,0.0570,0.0810
2239.9,27,0.0794,0.0719,0.0728,0.0183,0.0570,0.0734
2249.9,28,0.0717,0.0643,0.0728,0.0183,0.0585,0.0703
2259.9,29,0.0656,0.0658,0.0637,0.0174,0.0570,0.0658
2269.9,30,0.0626,0.0658,0.0606,0.0174,0.0601,0.0596
2279.9,31,0.0641,0.0536,0.0499,0.0174,0.0585,0.0505
2289.9,32,0.0534,0.0414,0.0362,0.0165,0.0585,0.0413
2299.9,33,0.0427,0.0307,0.0286,0.0165,0.0555,0.0322
2309.9,34,0.0366,0.0307,0.0225,0.0174,0.0539,0.0276
2319.9,35,0.0275,0.0277,0.0118,0.0165,0.0570,0.0215
2329.9,36,0.0229,0.0185,0.0057,0.0174,0.0539,0.0215
2339.9,37,0.0168,0.0139,0.0041,0.0174,0.0539,0.0184
2349.9,38,0.0183,0.0048,0.0011,0.0165,0.0524,0.0078
2359.9,39,0.0138,0.0002,-0.0065,0.0165,0.0494,0.0017
2369.9,40,0.0061,0.0032,-0.0065,0.0174,0.0478,-0.0014
2379.9,41,0.0077,0.0048,-0.0050,0.0174,0.0509,0.0001
2389.9,42,0.0107,0.0063,-0.0004,0.0165,0.0478,0.0032
2399.9,43,0.0122,0.0032,0.0072,0.0165,0.0478,0.0047
2409.9,44,0.0138,0.0063,0.0148,0.0174,0.0478,0.0078
2419.9,45,0.0122,0.0139,0.0179,0.0174,0.0448,0.0108
2429.9,46,0.0183,0.0139,0.0179,0.0157,0.0448,0.0123
2439.9,47,0.0199,0.0154,0.0209,0.0165,0.0433,0.0123
2449.9,48,0.0244,0.0139,0.0209,0.0183,0.0463,0.0154
2459.9,49,0.0229,0.0139,0.0194,0.0165,0.0433,0.0200
2469.9,50,0.0244,0.0093,0.0148,0.0174,0.0448,0.0215
2479.9,51,0.0244,0.0124,0.0103,0.0183,0.0417,0.0200
2489.9,52,0.0214,0.0109,0.0072,0.0174,0.0417,0.0123
2499.9,53,0.0138,0.0109,0.0041,0.0165,0.0417,0.0078
2509.9,54,0.0046,0.0048,-0.0020,0.0165,0.0417,0.0047
2519.9,55,-0.0046,0.0017,-0.0035,0.0174,0.0387,0.0047
2529.9,56,-0.0091,0.0002,-0.0096,0.0157,0.0372,0.0017
2539.9,57,-0.0122,-0.0044,-0.0081,0.0165,0.0372,-0.0060
2549.9,58,-0.0107,-0.0120,-0.0096,0.0165,0.0372,-0.0166
2559.9,59,-0.0107,-0.0181,-0.0142,0.0165,0.0341,-0.0243
2569.9,60,-0.0168,-0.0197,-0.0142,0.0165,0.0326,-0.0258
2579.9,61,-0.0229,-0.0181,-0.0172,0.0174,0.0341,-0.0197
2589.9,62,-0.0244,-0.0227,-0.0218,0.0174,0.0311,-0.0166
2599.9,63,-0.0229,-0.0242,-0.0203,0.0174,0.0295,-0.0212
2609.9,64,-0.0259,-0.0242,-0.0218,0.0165,0.0295,-0.0166
2619.9,65,-0.0259,-0.0258,-0.0248,0.0174,0.0280,-0.0182
2629.9,66,-0.0259,-0.0319,-0.0248,0.0183,0.0265,-0.0212
2639.9,67,-0.0259,-0.0258,-0.0279,0.0174,0.0265,-0.0212
2649.9,68,-0.0274,-0.0242,-0.0309,0.0174,0.0250,-0.0182
2659.9,69,-0.0244,-0.0242,-0.0279,0.0174,0.0219,-0.0121
2669.9,70,-0.0274,-0.0258,-0.0248,0.0174,0.0219,-0.0227
2679.9,71,-0.0290,-0.0303,-0.0294,0.0183,0.0204,-0.0304
2689.9,72,-0.0320,-0.0349,-0.0264,0.0165,0.0204,-0.0319
2699.9,73,-0.0335,-0.0380,-0.0279,0.0174,0.0189,-0.0334
2709.9,74,-0.0320,-0.0364,-0.0294,0.0165,0.0173,-0.0334
2719.9,75,-0.0320,-0.0364,-0.0294,0.0174,0.0173,-0.0227
2729.9,76,-0.0244,-0.0334,-0.0309,0.0157,0.0143,-0.0258
2739.9,77,-0.0198,-0.0288,-0.0294,0.0183,0.0158,-0.0243
2749.9,78,-0.0274,-0.0288,-0.0309,0.0174,0.0143,-0.0243
2759.9,79,-0.0290,-0.0258,-0.0218,0.0191,0.0128,-0.0273
2769.9,80,-0.0229,-0.0227,-0.0172,0.0165,0.0112,-0.0258
2779.9,81,-0.0168,-0.0197,-0.0157,0.0174,0.0128,-0.0227
2789.9,82,-0.0198,-0.0166,-0.0172,0.0174,0.0097,-0.0197
2799.9,83,-0.0152,-0.0151,-0.0218,0.0174,0.0112,-0.0182
2809.9,84,-0.0076,-0.0166,-0.0218,0.0174,0.0112,-0.0197
2819.9,85,-0.0046,-0.0151,-0.0218,0.0174,0.0112,-0.0151
2829.9,86,-0.0122,-0.0151,-0.0203,0.0174,0.0097,-0.0151
2839.9,87,-0.0183,-0.0151,-0.0142,0.0174,0.0097,-0.0090
2849.9,88,-0.0091,-0.0105,-0.0111,0.0183,0.0082,-0.0090
2859.9,89,-0.0091,-0.0059,-0.0126,0.0165,0.0082,-0.0090
2869.9,90,-0.0107,-0.0044,-0.0050,0.0183,0.0097,0.0001
2879.8,91,-0.0061,0.0032,0.0041,0.0183,0.0082,0.0093
2889.8,92,0.0000,0.0078,0.0041,0.0183,0.0082,0.0169
2899.8,93,0.0046,0.0109,0.0103,0.0174,0.0051,0.0139
2909.8,94,0.0168,0.0109,0.0118,0.0183,0.0097,0.0154
2919.8,95,0.0229,0.0124,0.0225,0.0191,0.0097,0.0230
2929.8,96,0.0290,0.0200,0.0270,0.0183,0.0112,0.0230
2939.8,97,0.0305,0.0261,0.0255,0.0174,0.0112,0.0261
2949.8,98,0.0382,0.0277,0.0316,0.0183,0.0112,0.0261
2959.8,99,0.0443,0.0261,0.0377,0.0183,0.0128,0.0276
2969.8,100,0.0427,0.0322,0.0423,0.0183,0.0143,0.0276
2979.8,101,0.0397,0.0338,0.0392,0.0191,0.0143,0.0337
2989.8,102,0.0366,0.0338,0.0362,0.0174,0.0143,0.0383
2999.8,103,0.0366,0.0353,0.0392,0.0183,0.0158,0.0429
3009.8,104,0.0382,0.0307,0.0408,0.0191,0.0173,0.0413
3019.8,105,0.0336,0.0261,0.0392,0.0174,0.0189,0.0383
3029.8,106,0.0351,0.0261,0.0362,0.0174,0.0173,0.0368
3039.8,107,0.0351,0.0277,0.0316,0.0165,0.0158,0.0368
3049.8,108,0.0412,0.0322,0.0270,0.0183,0.0189,0.0368
3059.8,109,0.0412,0.0322,0.0270,0.0183,0.0204,0.0322
3069.8,110,0.0427,0.0353,0.0286,0.0174,0.0204,0.0276
3079.8,111,0.0412,0.0429,0.0392,0.0183,0.0219,0.0368
3089.8,112,0.0443,0.0399,0.0453,0.0183,0.0219,0.0474
3099.8,113,0.0473,0.0399,0.0438,0.0183,0.0219,0.0490
3109.8,114,0.0489,0.0399,0.0408,0.0191,0.0219,0.0490
3119.8,115,0.0427,0.0414,0.0392,0.0191,0.0234,0.0490
3129.8,116,0.0412,0.0414,0.0438,0.0183,0.0250,0.0490
3139.8,117,0.0366,0.0368,0.0469,0.0183,0.0250,0.0444
3149.8,118,0.0366,0.0338,0.0453,0.0183,0.0250,0.0398
3159.8,119,0.0366,0.0338,0.0392,0.0174,0.0250,0.0337
3169.8,120,0.0397,0.0399,0.0316,0.0183,0.0250,0.0322
3179.8,121,0.0397,0.0322,0.0225,0.0183,0.0250,0.0291
3189.8,122,0.0351,0.0292,0.0225,0.0183,0.0234,0.0276
3199.8,123,0.0336,0.0277,0.0286,0.0183,0.0234,0.0337
3209.8,124,0.0336,0.0261,0.0362,0.0191,0.0265,0.0337
3219.8,125,0.0351,0.0231,0.0469,0.0183,0.0280,0.0352
3229.8,126,0.0351,0.0322,0.0438,0.0183,0.0265,0.0413
3239.8,127,0.0366,0.0399,0.0408,0.0183,0.0280,0.0429
3249.8,128,0.0412,0.0399,0.0392,0.0183,0.0280,0.0444
3259.8,129,0.0443,0.0383,0.0331,0.0174,0.0280,0.0398
3269.8,130,0.0382,0.0383,0.0301,0.0183,0.0280,0.0383
3279.8,131,0.0351,0.0383,0.0270,0.0191,0.0265,0.0307
3289.8,132,0.0290,0.0338,0.0301,0.0191,0.0265,0.0307
3299.8,133,0.0275,0.0322,0.0331,0.0183,0.0295,0.0322
3309.8,134,0.0290,0.0368,0.0377,0.0183,0.0280,0.0337
3319.8,135,0.0366,0.0414,0.0392,0.0183,0.0311,0.0352
3329.8,136,0.0366,0.0353,0.0362,0.0183,0.0311,0.0337
3339.8,137,0.0351,0.0277,0.0377,0.0183,0.0295,0.0368
3349.8,138,0.0290,0.0231,0.0392,0.0174,0.0326,0.0383
3359.8,139,0.0244,0.0200,0.0316,0.0183,0.0295,0.0337
3369.8,140,0.0229,0.0215,0.0286,0.0183,0.0295,0.0215
3379.8,141,0.0138,0.0231,0.0225,0.0191,0.0295,0.0154
3389.8,142,0.0107,0.0139,0.0148,0.0183,0.0265,0.0062
3399.8,143,0.0092,0.0063,0.0103,0.0183,0.0280,0.0047
3409.8,144,0.0061,0.0048,0.0026,0.0183,0.0280,0.0017
3419.8,145,0.0015,0.0063,-0.0004,0.0183,0.0265,-0.0029
3429.8,146,-0.0046,0.0017,-0.0004,0.0200,0.0265,-0.0105
3439.8,147,-0.0091,-0.0044,-0.0050,0.0183,0.0265,-0.0166
3449.8,148,-0.0137,-0.0120,-0.0096,0.0191,0.0250,-0.0212
3459.8,149,-0.0168,-0.0151,-0.0111,0.0183,0.0265,-0.0227
3469.8,150,-0.0137,-0.0151,-0.0126,0.0174,0.0234,-0.0227
3479.8,151,-0.0152,-0.0135,-0.0142,0.0191,0.0234,-0.0212
3489.8,152,-0.0122,-0.0166,-0.0172,0.0183,0.0204,-0.0105
3499.8,153,-0.0091,-0.0151,-0.0172,0.0183,0.0204,-0.0075
3509.8,154,-0.0107,-0.0074,-0.0096,0.0174,0.0204,-0.0029
3519.8,155,-0.0061,-0.0044,-0.0050,0.0174,0.0189,0.0017
3529.8,156,0.0000,0.0002,0.0026,0.0183,0.0204,0.0032
3539.8,157,0.0046,0.0093,0.0072,0.0191,0.0189,0.0078
3549.8,158,0.0046,0.0185,0.0133,0.0191,0.0173,0.0047
3559.8,159,0.0031,0.0200,0.0148,0.0183,0.0189,0.0093
3569.8,160,0.0046,0.0215,0.0179,0.0183,0.0173,0.0108
3579.8,161,0.0031,0.0170,0.0179,0.0183,0.0189,0.0139
3589.8,162,0.0107,0.0139,0.0164,0.0165,0.0189,0.0154
3599.8,163,0.0138,0.0124,0.0179,0.0183,0.0173,0.0215
3609.8,164,0.0138,0.0154,0.0209,0.0174,0.0189,0.0276
3619.8,165,0.0214,0.0231,0.0209,0.0183,0.0189,0.0276
3629.8,166,0.0229,0.0292,0.0240,0.0183,0.0204,0.0291
3639.8,167,0.0183,0.0307,0.0301,0.0183,0.0204,0.0276
3649.8,168,0.0214,0.0307,0.0423,0.0183,0.0219,0.0307
3659.8,169,0.0275,0.0292,0.0408,0.0183,0.0189,0.0368
