I (38466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4895 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (51466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4893 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (52466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4893 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (53466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (54466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (55466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (56466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4888 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (57466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4893 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (58466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (59466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.119 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (60466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4893 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (61466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (62466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (63466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4895 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (64466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4888 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (65466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4891 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (66466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (67466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4891 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
