Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"R1,R3,R4",3,2.2kΩ,R_0402_1005Metric,0402WGF2201TCE,UNI-ROYAL,C25879,,,,,,
"R11,R12",2,0Ω,R_0402_1005Metric,0R-0402-jumper,Generic,,,,,,,
R15,1,43.2kΩ,R_0402_1005Metric,0402WGF4322TCE,UNI-ROYAL,C25894,,,https://www.lcsc.com/product-detail/C25894.html,,,"U4 OV1 top: 43.2k/10k gives 5.639V nominal, 5.287..5.948V at 1%/VREF extremes, below the 6.0V regulator absolute maximum."
R18,1,33kΩ,R_0402_1005Metric,0402WGF3302TCE,UNI-ROYAL,C25779,,,,,,U4 PR1 divider bottom (GND side) -> ~4.27V typical validity floor.
"R2,R10,R13,R16,R19",5,10kΩ,R_0402_1005Metric,0402WGF1002TCE,UNI-ROYAL,C25744,,,https://www.lcsc.com/product-detail/C25744.html,,,"10 kohm follows Espressif ESP32-C6-DevKitC-1; GPIO8 must be high with GPIO9 low for joint download boot,U4 OV1 divider bottom (GND side) -> ~6.04V typical cutoff."
"R7,R14,R17",3,100kΩ,R_0402_1005Metric,0402WGF1003TCE,UNI-ROYAL,C25741,,,,,,"U4 ILIM strap -> ~1.24A typical (I_LIM=65.2/R_kOhm^0.861).,U4 PR1 divider top (IN1 side)."
"R8,R9",2,5.1kΩ,R_0402_1005Metric,0402WGF5101TCE,UNI-ROYAL,C25905,,,,,,
"RS1,RS2,RS3",3,0.5mΩ,R_2512_6332Metric,CSS2H-2512R-L500F,Bourns,,,,,,,"OQ-11 LOCKED (spec v1.2.0, 2026-07-02): Bourns CSS2H-2512R-L500F, 0.5mOhm. DigiKey standard reel is the healthy order channel (5,894 pcs @ fetch); JLCPCB mini-reel mirror C1848841 read 0 stock -- order DigiKey or recheck LCSC at BOM-freeze time."
SW1,1,BOOT,TS-1088-AR02016,TS-1088-AR02016,XUNPU,C720477,,,https://www.lcsc.com/datasheet/C720477.pdf,,,
SW2,1,RESET,TS-1088-AR02016,TS-1088-AR02016,XUNPU,C720477,,,https://www.lcsc.com/datasheet/C720477.pdf,,,
"TB11,TB13,TB21,TB23,TB31,TB33",6,TTR32100127-0600,XFCN_TTR32100127-0600_THT_M3_60A,TTR32100127-0600,XFCN,C45384691,,,https://www.lcsc.com/datasheet/C45384691.pdf,,,"XFCN right-angle threaded PCB soldering terminal; M3; two THT legs, both one electrical node. Manufacturer states 60 A and 1.0 N*m thread torque. JLC Extended, THT manual/wave assembly. Native 3D CAD is unavailable; project model is a datasheet-derived collision envelope."
U1,1,ESP32-C6-MINI-1-N4,ESP32-C6-MINI-1,ESP32-C6-MINI-1-N4,Espressif Systems,C5736265,,,https://documentation.espressif.com/esp32-c6-mini-1_mini-1u_datasheet_en.pdf,,,
"U10,U11,U12",3,INA238,VSSOP-10_3x3mm_P0.5mm,INA238AIDGSR,Texas Instruments,C2868250,,,https://www.ti.com/lit/ds/symlink/ina238.pdf,,,
U2,1,TJA1051T/3,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T/3/1J,NXP Semiconductors,C38695,,,https://www.nxp.com/docs/en/data-sheet/TJA1051.pdf,,,
"U20,U21,U22",3,INA181A2IDBVR,SOT-23-6,INA181A2IDBVR,Texas Instruments,C2058784,,,https://www.ti.com/lit/ds/symlink/ina181.pdf,,,
U3,1,LP5907MFX-3.3,SOT-23-5,LP5907MFX-3.3/NOPB,Texas Instruments,C80670,,,https://www.ti.com/lit/ds/symlink/lp5907.pdf,,,
"U30,U31,U32",3,TLV7011DBVR,SOT-23-5,TLV7011DBVR,Texas Instruments,C702117,,,https://www.ti.com/lit/ds/symlink/tlv7011.pdf,,,
U4,1,TPS2121RUXR,RUX0012A,TPS2121RUXR,Texas Instruments,C485916,,,https://www.ti.com/lit/ds/symlink/tps2121.pdf,,,
