I (12461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (26481) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.098 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4896 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (27481) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.100 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (28461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.100 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4895 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (29491) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.102 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4892 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (30501) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.100 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4894 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (31501) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.102 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (32461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.105 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4890 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (33461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.119 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (34461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.121 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4883 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (35461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (36461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.120 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (37461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4877 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (38461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.119 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (39461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4876 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (40461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4876 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (41461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4875 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (42461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4878 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (43461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (44461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.125 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4875 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (45461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (46461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.125 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4878 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (47461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4883 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (48461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.125 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4876 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (49461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (50461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4878 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (51461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (52461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (53461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4883 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (54461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (55461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (56461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4885 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (57461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.125 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (58461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (59461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.126 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4878 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (60461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (61461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.125 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4878 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (62461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (63461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (64461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (65461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (66461) cec_main: [STANDBY] V: 12=0.004 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (67461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (68461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.125 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4878 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (69461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4877 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (70461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.126 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4876 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (71461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (72461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.126 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (73461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (74461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.125 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (75461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (76461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.126 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (77461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (78461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4879 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (79461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4882 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (80461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.123 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4881 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (81461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.122 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4883 | P=-0.0W T=28.2C | PS_ON=0 PWR_OK=0
I (82461) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.124 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4880 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
