Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
R26,1,11.0kOhm,R_0402_1005Metric,RC0402FR-0711KL,YAGEO,C138063,,,https://www.lcsc.com/product-detail/C138063.html,,,"Selected-rail dropout threshold divider, top leg (1%). With R27=10k and R28=1M hysteresis, sets U8 IN- near 1.59V for a nominal 4.36V trip on the upstream +5VSB BLACKOUT_SENSE divider."
R27,1,10.0kOhm,R_0402_1005Metric,0402WGF1002TCE,UNI-ROYAL,C25744,,,,,,"W12 comparator threshold divider, bottom leg (1%)."
R28,1,1MOhm,R_0402_1005Metric,0402WGF1004TCE,UNI-ROYAL,C26083,,,,,,"Selected-rail dropout comparator hysteresis feedback (~1M), OUT -> COMP_THRESH. BLACKOUT_SENSE remains available to the ADC for logging while U8 supplies the hardware interrupt."
"R3,R4",2,60.4,R_0402_1005Metric,GR0402F60R4TAG00,Viking,C49654185,,,,,,
R39,1,453kΩ,R_0402_1005Metric,0402WGF4533TCE,UNI-ROYAL,C27009,,,https://www.lcsc.com/product-detail/C27009.html,,,Hub buck FB top; 3.318V nominal
R40,1,100kΩ,R_0402_1005Metric,0402WGF1003TCE,UNI-ROYAL,C25741,,,https://www.lcsc.com/product-detail/C25741.html,,,Hub buck FB bottom; 100k per TI recommendation
"R9,R10",2,5.1kΩ,R_0402_1005Metric,0402WGF5101TCE,UNI-ROYAL,C25905,,,,,,
RJ_HOLD?,1,0R (jumper),R_0402_1005Metric,0402WGF0000TCE,UNI-ROYAL,C17168,,,https://www.lcsc.com/product-detail/C17168.html,,,Populated 0-ohm link from the post-diode +5V hold-up reservoir to the complete TLV62569 3.3V buck stage.
SW_BOOT?,1,SW_BOOT,TS-1088-AR02016,TS-1088-AR02016,XUNPU,C720477,,,https://www.lcsc.com/datasheet/C720477.pdf,,,"Push button switch, generic, two pins"
SW_RESET?,1,SW_RST,TS-1088-AR02016,TS-1088-AR02016,XUNPU,C720477,,,https://www.lcsc.com/datasheet/C720477.pdf,,,"Push button switch, generic, two pins"
TH1,1,NTC 10k,NTC_0402_1005Metric,NCP15XH103F03RC,Murata Electronics,C77131,,,,,,
U1,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1_NoAntKeepout,ESP32-S3-WROOM-1-N16R8,Espressif Systems,C2913202,,,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,,,"RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD"
U2,1,TJA1051T/3,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T/3/1J,NXP Semiconductors,C38695,,,https://www.nxp.com/docs/en/data-sheet/TJA1051.pdf,,,
U3,1,TLV62569DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,TLV62569DBVR,Texas Instruments,C141836,,,https://www.ti.com/lit/ds/symlink/tlv62569.pdf,,,2A synchronous buck; Hub +3V3 direct regulator (no post-LDO required)
U4,1,TPS3839K33,SOT-23,TPS3839K33DBZR,Texas Instruments,C96333,,,https://www.ti.com/lit/ds/symlink/tps3839.pdf,,,
"U7,U11",2,TPS2121RUXR,RUX0012A,TPS2121RUXR,Texas Instruments,C485916,,,https://www.ti.com/lit/ds/symlink/tps2121.pdf,,,
U6,1,SN74AHCT1G08,SOT-23-5,SN74AHCT1G08DBVR,Texas Instruments,C113521,,,https://www.ti.com/lit/ds/symlink/sn74ahct1g08.pdf,,,
U8,1,TLV7011DBVR,SOT-23-5,TLV7011DBVR,Texas Instruments,C702117,,,https://www.ti.com/lit/ds/symlink/tlv7011.pdf,,,"Hardware persist/shutdown trigger for loss of the final selected +5VSB rail, upstream of D1 and the 4700uF hold-up reservoir. IN+=BLACKOUT_SENSE, IN-=COMP_THRESH (~1.59V; ~4.36V nominal selected-rail trip), OUT=PWR_FAIL_INT -> ESP32 IO14. This trigger precedes buck dropout; TPS3839 remains the final reset backstop."
