Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
FB1,1,600R@100MHz FB (MPZ2012S601AT000),C_0805_2012Metric,MPZ2012S601AT000,TDK,C21519,,,,,,"H3a(a): VBUS entry ferrite bead, POPULATED. 0805 land reused (cec-Capacitor_SMD:C_0805_2012Metric is dimensionally the same 2012-metric chip land); real footprint to be added to lib/vendor at the W6 layout pass. Corrected 2026-07-03 (coordinator pattern-correction, matches eps-8pin): MPZ2012S601AT000 (LCSC C21519) is the actual stocked 0805/600R@100MHz/2A part -- the earlier 'MPZ2012S601A' with no suffix and the lock-register's 'ATD01' suffix are both not real orderable MPNs."
FB2,1,"0R (FB position, populate on EMC evidence)",C_0805_2012Metric,0805W8F0000T5E,UNI-ROYAL,C17477,,,,,,"H3a(b): port-VCC (+5V_SYS) entry bead position, 0R-DEFAULT (jumper); populate a real bead (same 0805 land) only on EMC evidence. Judgment call (beta splice 2026-07-03): the 24-pin's RJ-45 VCC is locked NC (spec 2.7 v3.3, no incoming 5VSB over the port), so the analogous 'port entry' for THIS module is the +5V_SYS OUTPUT crossing to the JST (J2) / mezzanine (J6) cable boundary -- the bead sits there, not on an incoming RJ-45 VCC pin. MPN matches eps-8pin's choice for platform consistency; C17477 read out-of-stock at verification (2026-07-03) -- any generic 0R 0805 jumper is a valid substitute, flag at BOM-freeze."
J2,1,TO-HUB-PWR,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,S2B-XH-A(LF)(SN),JST,C157931,,,https://www.lcsc.com/datasheet/C157931.pdf,,,
J3,1,ATX-24 PSU,Molex_Mini-Fit_Jr_5569-24A1_2x12_P4.20mm_Horizontal,39291247,Molex,,,,https://www.molex.com/en-us/products/part-detail/39291247,,,24-circuit Mini-Fit Jr right-angle through-hole ATX input header.
J5,1,USB-C 2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,U262-161N-4BVC11,XKB Connection,C319148,,,https://datasheet.lcsc.com/szlcsc/1811141824_XKB-Enterprise-U262-161N-4BVC11_C319148.pdf,,,
J6C?,1,TO-HUB-STACK-COMMS,PinHeader_2x04_P2.54mm_Vertical,TSW-104-17-G-D,Samtec,,,,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf,,,Exact 2x4 ATX long-post header; mates Hub SSQ-104-03-G-D in the 18mm dead-bug stack. STREAM_P/N are intentionally NC on both Standard boards.
J6D?,1,TO-HUB-STACK-ID,PinHeader_2x02_P2.54mm_Vertical,TSW-102-17-G-D,Samtec,,,,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf,,,Exact 2x2 ATX long-post header; mates Hub SSQ-102-03-G-D in the 18mm dead-bug stack. RSVD is intentionally NC.
J6P?,1,TO-HUB-STACK-PWR,PinHeader_2x03_P2.54mm_Vertical,TSW-103-17-G-D,Samtec,,,,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf,,,Exact 2x3 ATX long-post header; mates Hub SSQ-103-03-G-D in the 18mm dead-bug stack.
J_SIG1,1,SSQ-102-03-G-D,Samtec_SSQ-102-03-G-D_2x02_P2.54mm_Vertical,SSQ-102-03-G-D,Samtec,,,,https://suddendocs.samtec.com/prints/ssq-1xx-xx-xxx-x-xx-xxx-xx-x-mkt.pdf,,,"Mates TSW-102-16-G-D-RA; 1=-12V, 2=PS_ON#, 3=PWR_OK, 4=GND. First-article mated-transform and engagement check required."
Q1,1,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,AO3400A,Alpha & Omega Semiconductor,C20917,,,https://www.aosmd.com/res/datasheets/AO3400A.pdf,,,"PS_ON# OPEN-DRAIN drive (owner-approved 2026-07-14): wired-OR with the motherboard, can force PSU ON, can never source. 100k gate pull-down = released at reset/crash (fail-safe). Line is 5.25V max vs 30V rating; sink budget 10mA vs Vol<1mV."
"R1,R3,R4",3,2.2kΩ,R_0402_1005Metric,0402WGF2201TCE,UNI-ROYAL,C25879,,,https://www.lcsc.com/product-detail/C25879.html,,,
"R2,R10,R51,R56,R60,R61,R69,R76",8,10kΩ,R_0402_1005Metric,0402WGF1002TCE,UNI-ROYAL,C25744,,,https://www.lcsc.com/product-detail/C25744.html,,,"ADC series R: limits single-fault clamp current to ~127uA,IO8 strap pull-up: ESP32-C6 Table 4-3 joint download boot needs GPIO8=1 (no internal pull); floating IO8 = unreliable flashing,U5 OV1 divider bottom.,U6 OV1 divider bottom (GND side) -> ~6.04V typical cutoff, faulty-PSU-5VSB-tap disconnect."
R50,1,20kΩ,R_0402_1005Metric,0402WGF2002TCE,UNI-ROYAL,C25765,,,https://www.lcsc.com/product-detail/C25765.html,,,
"R53,R58",2,33kΩ,R_0402_1005Metric,0402WGF3302TCE,UNI-ROYAL,C25779,,,,,,U6 PR1 divider bottom (GND side) -> ~4.27V typical validity floor -- mirrors U5's own R53 style.
"R55,R59",2,43.2kΩ,R_0402_1005Metric,0402WGF4322TCE,UNI-ROYAL,C25894,,,https://www.lcsc.com/product-detail/C25894.html,,,"U5 OV1 divider top.,U6 OV1 top: 43.2k/10k gives 5.618V nominal, 5.287..5.948V at 1%/VREF extremes."
"R7,R52,R54,R57,R73,R75",6,100kΩ,R_0402_1005Metric,0402WGF1003TCE,UNI-ROYAL,C25741,,,https://www.lcsc.com/product-detail/C25741.html,,,"-12V divider bottom (to /ATX_NEG12V); rail load 133uA,U6 ILIM strap -> ~1.24A typical (I_LIM=65.2/R_kOhm^0.861).,U6 PR1 divider top (IN1/+5VSB side) -- mirrors U5's own R52 style.,gate pull-down: default RELEASED (safety-critical, do not DNP)"
"R70,R71",2,1kΩ,R_0402_1005Metric,0402WGF1001TCE,UNI-ROYAL,C11702,,,,,,"PS_ON# tap series R,PWR_OK tap series R (alpha/netmap §4 pattern)"
R72,1,100Ω,R_0402_1005Metric,RC0402JR-07100RL,YAGEO,C106233,,,,,,gate series R from IO3
R74,1,15kΩ,R_0402_1005Metric,0402WGF1502TCE,UNI-ROYAL,C25756,,,,,,"-12V divider top (to +3V3): node = 1.30V @ -12.0V rail, 2.87V @ rail-0V, 3.3V @ wire-absent -- all in ADC window"
"R8,R9",2,5.1kΩ,R_0402_1005Metric,0402WGF5101TCE,UNI-ROYAL,C25905,,,https://www.lcsc.com/product-detail/C25905.html,,,
"RS1,RS2,RS3",3,2mΩ,R_2512_6332Metric,CSS2H-2512K-2L00F,Bourns,C1729157,,,,,,
RS4,1,R025,R_2512_6332Metric,LCSR2512FR025K9L,Resistor Today,C494568,,,,,,"AS-BUILT record correction (owner, 2026-07-08): the ORDERED rev2 board ships a 2-terminal 25mOhm (this part) on the plain R_2512 land -- the WSK2512 4-terminal in the alpha schematic/spec text was swapped before order and never recorded. Kelvin sense = copper-drawn taps at layout per section 6.8, like the other rails."
"R_BYP_H1,R_BYP_L1",2,0Ω,R_0402_1005Metric,0402WGF0000TCE,UNI-ROYAL,C17168,,,,,,"H3a(c) CAN CMC bypass: 0R bridge across FL1's H channel (CAN_H_BUS<->CAN_H), populated BY DEFAULT so CAN stays continuous with FL1 DNP. Remove this jumper only if FL1 is populated for real EMC insurance.,H3a(c) CAN CMC bypass: 0R bridge across FL1's L channel (CAN_L_BUS<->CAN_L), populated BY DEFAULT so CAN stays continuous with FL1 DNP. Remove this jumper only if FL1 is populated for real EMC insurance."
SW1,1,BOOT,TS-1088-AR02016,TS-1088-AR02016,XUNPU,C720477,,,https://www.lcsc.com/datasheet/C720477.pdf,,,
SW2,1,RESET,TS-1088-AR02016,TS-1088-AR02016,XUNPU,C720477,,,https://www.lcsc.com/datasheet/C720477.pdf,,,
"TB1,TB2,TB4,TB5",4,XFCN T34069,XFCN_T34069_THT_M3_40A,T34069,XFCN,C481452,,,https://www.lcsc.com/datasheet/C481452.pdf,,,"XFCN PCB soldering terminal with an M3 threaded side face and supplied screw/pressure washer; four THT legs, all one electrical node. The external daughterboard or conductor requires an M3 clearance hole and is clamped against the threaded face. Manufacturer states 40 A and 0.5 N*m thread torque. JLC Extended, THT manual/wave assembly. PCB hole pattern, screw-axis datum, washer envelope, and joint stack remain incoming-sample gates."
"TB6,TB9",2,TTR32100127-0600,XFCN_TTR32100127-0600_THT_M3_60A,TTR32100127-0600,XFCN,C45384691,,,https://www.lcsc.com/datasheet/C45384691.pdf,,,"XFCN right-angle threaded PCB soldering terminal; M3; two THT legs, both one electrical node. Manufacturer states 60 A and 1.0 N*m thread torque. JLC Extended, THT manual/wave assembly. Native 3D CAD is unavailable; project model is a datasheet-derived collision envelope."
U1,1,ESP32-C6-MINI-1-N4,ESP32-C6-MINI-1,ESP32-C6-MINI-1-N4,Espressif Systems,C5736265,,,https://documentation.espressif.com/esp32-c6-mini-1_mini-1u_datasheet_en.pdf,,,
"U10,U11,U12,U13",4,INA238,VSSOP-10_3x3mm_P0.5mm,INA238AIDGSR,Texas Instruments,C2868250,,,https://www.ti.com/lit/ds/symlink/ina238.pdf,,,
U2,1,TJA1051T/3,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T/3/1J,NXP Semiconductors,C38695,,,https://www.nxp.com/docs/en/data-sheet/TJA1051.pdf,,,
U3,1,TLV75533PDRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,TLV75533PDRVR,Texas Instruments,C2861750,,,https://www.ti.com/lit/ds/symlink/tlv755p.pdf,,,500mA direct 3.3V LDO with exposed thermal pad
"U4,U8",2,74LVC1G17,SOT-23-5,SN74LVC1G17DBVR,Texas Instruments,C7836,,,https://www.ti.com/lit/ds/symlink/sn74lvc1g17.pdf,,,"PS_ON# Schmitt buffer: high-Z (does not load the PSU's internal pull-up); firmware interlock reads line-vs-own-drive,PWR_OK Schmitt buffer: 5V-tolerant input at 3V3 VCC, high-Z tap, clean edge for T_pwr_ok (100-500ms) timing on IO4"
"U5,U6",2,TPS2121RUXR,RUX0012A,TPS2121RUXR,Texas Instruments,C485916,,,https://www.ti.com/lit/ds/symlink/tps2121.pdf,,,
"U63V31,U65V1,U65VSB1,U612V1",4,INA181A2IDBVR,SOT-23-6,INA181A2IDBVR,Texas Instruments,C2058784,,,https://www.ti.com/lit/ds/symlink/ina181.pdf,,,
"U73V31,U75V1,U75VSB1,U712V1",4,TLV7011DBVR,SOT-23-5,TLV7011DBVR,Texas Instruments,C702117,,,https://www.ti.com/lit/ds/symlink/tlv7011.pdf,,,
